"YEAR","SAMPLE","CBSERIAL","STATEFIP","COUNTYFIP","CITY","SEX","AGE","RACE","RACED","RACASIAN","EDUC","EDUCD","EMPSTAT","EMPSTATD","OCC2010","IND","WKSWORK2","UHRSWORK","INCTOT","INCWAGE","INCBUS00","PWSTATE2","PWCOUNTY"
2015,201501,47339,25,0,0,2,36,6,610,2,11,116,1,10,430,7490,6,45,70000,70000,0,25,0
2015,201501,47339,25,0,0,1,38,6,610,2,11,114,1,10,4700,6970,6,45,100000,100000,0,25,25
2015,201501,47339,25,0,0,2,1,6,610,2,0,1,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,47808,25,25,810,1,60,6,640,2,10,101,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,47808,25,25,810,2,59,6,640,2,6,64,1,10,4520,8990,6,20,17000,17000,0,25,25
2015,201501,47808,25,25,810,1,30,6,640,2,10,101,1,10,4520,8990,6,40,37000,37000,0,25,25
2015,201501,47808,25,25,810,1,21,6,640,2,7,71,1,10,2200,7870,1,10,600,600,0,25,25
2015,201501,50653,25,0,7570,1,27,6,610,2,10,101,3,30,1650,8190,0,0,0,0,0,0,0
2015,201501,50653,25,0,7570,1,28,6,610,2,10,101,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,50653,25,0,7570,2,25,6,610,2,10,101,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,51338,25,25,810,2,18,4,400,2,7,71,3,30,4010,8680,1,35,2500,2500,0,0,0
2015,201501,52120,25,25,810,2,60,6,600,2,10,101,1,10,3130,8190,4,40,90000,90000,0,25,25
2015,201501,52120,25,25,810,1,30,6,600,2,11,114,1,10,2310,7860,6,40,50000,50000,0,25,25
2015,201501,52120,25,25,810,2,22,6,600,2,10,101,1,10,3640,7980,6,30,19000,19000,0,25,25
2015,201501,52120,25,25,810,2,19,6,600,2,7,71,1,10,4720,8680,1,16,340,340,0,25,25
2015,201501,52601,25,0,0,1,58,6,679,2,6,61,1,12,6230,5790,4,40,53000,53000,0,0,0
2015,201501,53486,25,0,0,1,62,4,400,2,4,40,1,10,5540,6370,6,40,64000,64000,0,25,0
2015,201501,53486,25,0,0,2,51,4,400,2,4,40,1,10,4230,8660,6,40,35200,35200,0,25,25
2015,201501,53486,25,0,0,1,17,4,400,2,5,50,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,53486,25,0,0,1,14,4,400,2,2,26,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,53548,25,3,0,2,39,6,600,2,7,71,1,10,5940,8090,6,40,25000,25000,0,25,3
2015,201501,54419,25,0,7570,1,18,6,640,2,6,65,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,55113,25,0,0,2,27,6,643,2,11,114,1,10,4510,8980,5,40,23200,23200,0,25,0
2015,201501,55113,25,0,0,1,34,6,643,2,11,114,1,10,9140,8660,6,40,59000,59000,0,25,25
2015,201501,56358,25,0,0,2,45,6,640,2,10,101,2,20,120,6970,3,44,165000,165000,0,0,0
2015,201501,56563,25,0,0,2,24,4,400,2,10,101,1,10,5860,7580,2,40,7000,7000,0,9,3
2015,201501,57003,25,0,0,1,21,4,400,2,7,71,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,57709,25,0,0,1,21,6,610,2,7,71,3,30,840,7870,2,20,2000,2000,0,0,0
2015,201501,59098,25,0,0,2,32,6,675,2,10,101,1,10,430,7970,6,45,82000,82000,0,25,0
2015,201501,59376,25,0,7570,1,58,4,400,2,0,2,1,10,5620,5380,6,40,20000,20000,0,25,0
2015,201501,59376,25,0,7570,2,59,4,400,2,0,2,1,10,5620,5380,6,40,20000,20000,0,25,0
2015,201501,59376,25,0,7570,2,25,4,400,2,10,101,1,10,8350,5170,6,37,40000,40000,0,25,0
2015,201501,59376,25,0,7570,2,21,4,400,2,6,63,1,10,4760,5380,1,20,1500,1500,0,25,0
2015,201501,60178,25,0,0,2,34,6,620,2,10,101,1,10,1000,6970,6,50,53000,53000,0,44,7
2015,201501,60253,25,0,0,1,40,6,610,2,10,101,1,10,430,7380,6,40,551000,551000,0,25,0
2015,201501,60253,25,0,0,2,38,6,610,2,10,101,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,60253,25,0,0,1,11,6,610,2,1,17,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,60253,25,0,0,2,9,6,610,2,1,16,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,60360,25,25,810,1,76,6,640,2,0,2,3,30,9920,0,0,0,36000,0,0,0,0
2015,201501,60360,25,25,810,2,76,6,640,2,0,2,3,30,9920,0,0,0,6000,0,0,0,0
2015,201501,62081,25,0,3770,2,29,6,663,2,5,50,3,30,6050,170,0,0,0,0,0,0,0
2015,201501,62081,25,0,3770,1,11,6,663,2,2,22,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,62081,25,0,3770,1,10,6,663,2,1,16,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,62081,25,0,3770,1,8,6,663,2,1,14,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,64080,25,0,0,1,34,6,620,2,11,116,1,10,1760,7870,6,40,68000,68000,0,25,0
2015,201501,64080,25,0,0,2,31,6,620,2,11,114,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,64080,25,0,0,1,7,6,620,2,1,14,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,64080,25,0,0,2,2,6,620,2,0,1,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,65028,25,0,930,2,29,6,610,2,11,114,1,10,2200,7870,6,60,35000,35000,0,25,0
2015,201501,66508,25,0,0,1,40,6,640,2,10,101,1,10,1430,3380,6,40,88000,88000,0,44,7
2015,201501,66508,25,0,0,2,34,6,640,2,10,101,1,10,120,6870,6,40,51000,51000,0,25,0
2015,201501,66508,25,0,0,2,6,6,640,2,1,12,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,66508,25,0,0,1,2,6,640,2,0,1,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,66508,25,0,0,2,31,6,640,2,10,101,1,10,2310,7860,6,25,15600,8400,0,25,0
2015,201501,66866,25,0,0,2,48,6,662,2,11,114,1,10,840,3370,6,44,80000,80000,0,25,0
2015,201501,66866,25,0,0,1,20,6,662,2,6,65,1,10,4760,5180,1,40,1000,1000,0,29,189
2015,201501,66866,25,0,0,1,39,6,662,2,10,101,1,10,2720,7870,6,50,55000,55000,0,36,61
2015,201501,66866,25,0,0,1,50,6,610,2,10,101,1,10,4720,5480,1,20,12500,5000,0,25,0
2015,201501,66866,25,0,0,2,45,6,610,2,10,101,1,10,4760,5380,6,38,22500,22500,0,29,189
2015,201501,66866,25,0,0,2,14,6,610,2,3,30,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,66866,25,0,0,2,9,6,610,2,1,16,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,67329,25,0,6670,1,35,6,640,2,7,71,2,20,8740,4170,3,40,40000,40000,0,0,0
2015,201501,67329,25,0,6670,2,27,6,640,2,6,63,1,10,4520,8990,6,30,18700,18700,0,25,0
2015,201501,67329,25,0,6670,2,2,6,640,2,0,1,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,67705,25,0,0,2,51,6,620,2,10,101,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,67705,25,0,0,1,23,6,620,2,7,71,3,30,4840,3365,3,40,20000,20000,0,0,0
2015,201501,67705,25,0,0,1,14,6,620,2,3,30,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,67752,25,0,0,1,48,6,610,2,10,101,2,20,730,7380,0,0,0,0,0,0,0
2015,201501,67752,25,0,0,2,44,6,610,2,11,114,1,10,430,3590,6,40,150000,150000,0,25,0
2015,201501,67752,25,0,0,2,17,6,610,2,5,50,1,10,5860,7270,3,6,2500,2500,0,25,0
2015,201501,67752,25,0,0,1,15,6,610,2,3,30,0,0,9920,0,0,0,0,999999,0,0,0
2015,201501,70883,25,25,810,2,19,4,400,2,7,71,1,10,2000,7870,2,12,2500,2500,0,25,25
2015,201501,71705,25,0,0,2,18,4,400,2,6,65,2,20,5620,5170,2,20,5500,5500,0,0,0
2015,201501,71989,25,0,0,2,21,6,620,2,6,65,1,10,3600,8190,2,25,4000,4000,0,25,0
2015,201501,72202,25,25,0,2,49,6,660,2,11,114,1,10,2000,7860,6,35,55000,55000,0,25,0
2015,201501,73029,25,25,810,1,19,6,676,2,7,71,3,30,9920,0,0,0,254000,0,0,0,0
2015,201501,73029,25,25,810,1,16,6,676,2,6,65,3,30,9920,0,0,0,6500,0,0,0,0
2015,201501,73029,25,25,810,1,16,6,676,2,6,65,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,76684,25,0,0,1,26,4,400,2,10,101,1,10,1960,7870,6,60,30000,30000,0,25,25
2015,201501,77537,25,0,7570,1,18,6,640,2,6,65,3,30,9920,0,0,0,0,0,0,0,0
