YEAR,STATEFIP,CITY,SEX,AGE,RACED,EDUC,EMPSTAT,OCC2010,IND,UHRSWORK,INCTOT,INCWAGE
2015,25,0,1,19,Vietnamese,6,3,9920,0,0,0,0
2015,25,930,2,19,Thai,6,1,5400,7870,6,800,600
2015,25,0,2,19,Chinese,7,1,3950,8590,12,1000,1000
2015,25,0,1,33,Indian,11,1,10,6680,40,148000,145000
2015,25,0,2,33,Indian,11,1,430,6695,40,113000,110000
2015,25,0,2,55,Chinese,2,1,4150,8680,38,18000,18000
2015,25,0,1,31,Chinese,10,1,730,1280,50,89020,89000
2015,25,0,2,32,Chinese,11,1,2310,7860,12,67000,67000
2015,25,0,2,42,Korean,10,3,5260,7870,20,2000,2000
2015,25,7570,2,21,Chinese,7,3,9920,0,0,0,0
2015,25,0,1,59,Chinese,0,1,4000,8680,40,7200,7200
2015,25,0,2,52,Chinese,0,1,3650,8190,40,40000,40000
2015,25,0,1,25,Chinese,10,3,3300,8190,0,0,0
2015,25,0,2,78,Chinese,0,3,9920,0,0,3600,0
2015,25,0,1,75,Indian,11,3,3060,7970,0,312500,0
2015,25,0,2,74,Indian,11,3,3060,7970,0,321100,0
2015,25,0,1,32,Chinese,10,1,3130,8190,36,92000,92000
2015,25,810,2,18,Chinese,6,2,5240,9170,3,150,150
2015,25,0,2,36,Chinese,11,1,3060,8190,50,200000,200000
2015,25,0,1,33,Chinese,10,1,1020,6695,50,113000,100000
2015,25,0,1,1,Chinese,0,0,9920,0,0,9999999,999999
2015,25,0,1,43,Other,6,1,8320,1680,40,23400,23400
2015,25,0,2,41,Other,0,3,9920,0,0,0,0
2015,25,0,1,3,Other,1,0,9920,0,0,9999999,999999
2015,25,0,1,2,Other,0,0,9920,0,0,9999999,999999
2015,25,0,1,0,Other,0,0,9920,0,0,9999999,999999
2015,25,3770,2,51,Korean,11,1,1830,9490,40,98000,98000
2015,25,0,1,40,Indian,11,1,10,6990,55,250000,250000
2015,25,0,2,40,Indian,10,3,9920,0,0,0,0
2015,25,0,1,11,Indian,2,0,9920,0,0,9999999,999999
2015,25,0,1,8,Indian,1,0,9920,0,0,9999999,999999
2015,25,3770,1,38,Other,6,1,7720,3390,40,35100,25500
2015,25,3770,2,30,Other,3,1,4220,9170,35,20700,20700
2015,25,3770,1,3,Other,0,0,9920,0,0,9999999,999999
2015,25,3770,1,2,Other,0,0,9920,0,0,9999999,999999
2015,25,3770,2,73,Other,10,3,9920,0,0,5800,0
2015,25,3770,2,28,Other,7,1,7750,6390,40,8000,8000
2015,25,0,2,28,Vietnamese,6,3,9920,0,0,0,0
2015,25,0,1,21,Korean,7,1,4430,6570,12,2000,2000
2015,25,0,2,67,Other,0,3,4610,8170,0,29500,0
2015,25,0,2,43,Other,6,3,9920,0,0,0,0
2015,25,0,1,58,Chinese,10,1,300,9570,40,173000,170000
2015,25,0,2,57,Chinese,6,1,350,8190,45,76000,76000
2015,25,810,1,20,Thai,10,3,9920,0,0,0,0
2015,25,0,2,47,Chinese,11,1,1720,2190,50,124010,124000
2015,25,0,2,18,Chinese,6,1,4720,8680,16,340,340
2015,25,0,1,54,Chinese,0,1,4000,8680,40,8000,8000
2015,25,0,2,53,Chinese,0,1,4000,8680,40,8000,8000
2015,25,0,1,22,Chinese,6,1,9130,8680,12,6000,6000
2015,25,0,2,79,Chinese,0,3,9920,0,0,3600,0
2015,25,0,1,61,Chinese,11,3,110,7380,48,28110,28000
2015,25,0,2,61,Chinese,7,3,9920,0,0,0,0
2015,25,0,1,20,Korean,7,3,9920,0,0,0,0
2015,25,0,2,66,Chinese,7,3,30,7290,0,20000,0
2015,25,0,1,63,Chinese,7,1,6355,9570,40,100000,100000
2015,25,0,2,31,Chinese,10,1,5700,3990,40,40000,40000
2015,25,6670,1,48,Vietnamese,6,1,8220,2690,40,37000,37000
2015,25,6670,2,38,Vietnamese,6,1,8965,3960,40,20000,20000
2015,25,7570,1,42,Vietnamese,6,1,7340,7070,40,30000,30000
2015,25,810,2,23,Chinese,6,3,2810,7380,40,300,300
2015,25,0,2,19,Indian,7,3,4720,4970,40,1000,1000
2015,25,0,1,30,Indian,11,1,1530,3390,40,60000,60000
2015,25,0,2,28,Indian,11,3,430,2190,40,15000,15000
2015,25,0,1,18,Chinese,6,3,9920,0,0,0,0
2015,25,810,1,23,Indian,10,3,3410,5070,0,0,0
2015,25,810,1,18,Indian,7,3,9920,0,0,0,0
2015,25,810,2,20,Indian,11,1,5700,6690,40,20500,20500
2015,25,810,2,20,Indian,11,1,8965,3390,40,25000,25000
